"Date","Time","group","Latitude","Longitude","location notes","zonal point","Intertidal zone","TapePoint","quarter","Distance from point","Height","Circumference","stems","Bud 1 Live","Bud 1 Dead","Bud 2 Live","Bud 2 Dead","Bud 3 Live","Bud 3 Dead","Leaf","leaf distorted ?","% of leaf missing","number of Mines","number of Galls"
"28/06/2015","1:10:58 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 2","True","20","0","0"
"28/06/2015","1:11:15 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 3","True","2","0","1"
"28/06/2015","1:11:29 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 4","","5","0","1"
"28/06/2015","1:11:44 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 5","True","30","0","0"
"28/06/2015","1:11:56 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 1","True","","True","","","","Leaf 6","True","50","0","0"
"28/06/2015","1:12:50 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 1","","100","0","0"
"28/06/2015","1:13:13 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 2","","2","1","1"
"28/06/2015","1:13:23 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 3","","2","0","0"
"28/06/2015","1:13:36 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 4","","2","0","0"
"28/06/2015","1:13:46 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 5","True","40","0","0"
"28/06/2015","1:14:06 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 2","","True","","","","","Leaf 6","True","30","0","0"
"28/06/2015","1:14:43 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 1","","0","0","0"
"28/06/2015","1:14:51 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 2","True","2","0","0"
"28/06/2015","1:15:03 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 3","True","80","0","0"
"28/06/2015","1:15:18 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 4","True","70","0","0"
"28/06/2015","1:15:35 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 5","True","99","0","0"
"28/06/2015","1:15:45 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 3","True","","","","","","Leaf 6","","2","0","0"
"28/06/2015","1:16:43 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 4","True","","True","","","","Leaf 1","True","2","0","0"
"28/06/2015","1:16:59 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 4","True","","True","","","","Leaf 2","True","10","0","0"
"28/06/2015","1:17:14 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 4","True","","True","","","","Leaf 3","","0","0","0"
"28/06/2015","1:17:23 PM","gary","","","","Seaward","Low","15","quarter 4","19.1","10","152","stem 4","True","","True","","","","Leaf 4","","0","0","0"
